City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
406,Cueto,CU,82.11,clear sky,20.6439,-75.9356,Logia Hiram Abí
409,Paka,MY,75.13,clear sky,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
410,Vikarabad,IN,76.59,clear sky,17.3333,77.9,sri sai college of dental surgery boys hostel
411,Cam Ranh,VN,73.36,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
412,Bowen,AU,73.62,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
413,Santa Luzia,BR,86.14,broken clouds,-19.7697,-43.8514,Pousada Chao Earth
414,Santa Helena De Goias,BR,85.98,clear sky,-17.8136,-50.5969,Hotel Cana Verde
422,Axim,GH,85.86,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
425,Geraldton,AU,81.01,clear sky,-28.7667,114.6,Broadwater Mariner Resort
426,Manokwari,ID,78.1,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
427,Kawalu,ID,73.78,light rain,-7.3817,108.2082,KOSAN UNGU UNSIK
428,Honiara,SB,78.64,broken clouds,-9.4333,159.95,Heritage Park Hotel
429,Victor Harbor,AU,73.18,overcast clouds,-35.5667,138.6167,McCracken Country Club
435,Suba,PH,80.87,overcast clouds,10.8438,121.0102,Jarnchi Pension House
441,Rawson,AR,80.82,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
448,Cidreira,BR,84.97,clear sky,-30.1811,-50.2056,Hotel Castelo
456,Porlamar,VE,78.89,broken clouds,10.958,-63.8491,Hotel Bella Vista
457,Andros Town,BS,75.16,overcast clouds,24.7,-77.7667,Hanks place
458,Sao Jose Da Coroa Grande,BR,85.68,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
459,Jacobina,BR,89.62,scattered clouds,-11.1806,-40.5183,HOSTEL JACOBINA
462,Mutis,CO,81.14,light rain,6.2262,-77.4044,Paraiso Escondido
463,Zinder,NE,80.56,clear sky,13.8072,8.9881,Hotel de Ville
464,Mahanoro,MG,78.37,moderate rain,-19.9,48.8,BUNGALOW MAHAMANINA
466,Praia,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
467,Comodoro Rivadavia,AR,75.06,few clouds,-45.8667,-67.5,Austral Hotel
468,Boueni,YT,84.18,light rain,-12.9025,45.0761,The feet in water
469,Labuhan,ID,78.6,overcast clouds,-6.8844,112.2051,DoubleFAG
470,Alice Springs,AU,80.15,heavy intensity rain,-23.7,133.8833,Desert Palms Alice Springs
473,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
475,Samarai,PG,81.41,broken clouds,-10.6167,150.6667,Nuli Sapi
478,Guaraciaba Do Norte,BR,83.35,scattered clouds,-4.1669,-40.7475,Gospel Fazenda Park Hotel
479,Grand-Santi,GF,85.06,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
480,Vila Velha,BR,80.55,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
483,Sao Miguel Do Araguaia,BR,86.25,clear sky,-13.275,-50.1628,Hotel Executivo Palace
484,Tarakan,ID,79.65,moderate rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
487,Nouadhibou,MR,75.18,broken clouds,20.931,-17.0347,El Medina
490,Matara,LK,74.98,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
496,Coahuayana,MX,75.9,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
499,Linhares,BR,84.81,broken clouds,-19.3911,-40.0722,Hotel Conceição
501,Paidha,UG,76.68,overcast clouds,2.4167,30.9855,OPIPAAF (OTHUMBA PITHUA PALWONGA )
507,Whyalla,AU,73.35,scattered clouds,-33.0333,137.5833,Foreshore Motor Inn
510,Takoradi,GH,84.61,broken clouds,4.8845,-1.7554,Raybow International Hotel
513,Belmonte,BR,84.7,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
514,Popondetta,PG,74.89,light rain,-8.7537,148.2534,Timos Transit House
521,Bubaque,GW,79.11,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
522,Mackay,AU,75.69,broken clouds,-21.15,149.2,International Lodge Motel
523,Canavieiras,BR,82.62,few clouds,-15.675,-38.9472,Bahiadomizil
524,Puerto Escondido,MX,78.98,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
526,Saint-Pierre,RE,87.48,few clouds,-21.3393,55.4781,Lindsey Hôtel
527,Catuday,PH,77.29,few clouds,16.2923,119.8062,Benjie's Kubo & Cottages
529,Karratha,AU,86.07,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
531,Santo Tomas,PH,79.57,few clouds,14.1079,121.1414,Microtel by Wyndham Batangas
532,Necochea,AR,76.03,moderate rain,-38.5473,-58.7368,dyd -mar Hotel
533,Maceio,BR,85.24,few clouds,-9.6658,-35.7353,Poutur Pousada
541,Ugoofaaru,MV,81.12,overcast clouds,5.6667,73.0,Ungoofaaru Inn
546,Sucua,EC,78.94,light rain,-2.4667,-78.1667,Hotel Orellana
547,Kendari,ID,77.22,scattered clouds,-3.945,122.4989,Hotel Wixel
549,Menongue,AO,76.08,overcast clouds,-14.6585,17.691,Ritz Lauca
552,Corralillo,CU,77.99,overcast clouds,22.9819,-80.5856,Hostal De Pedri
554,Srivardhan,IN,75.38,clear sky,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
560,Sao Felix Do Xingu,BR,88.86,clear sky,-6.6447,-51.995,Rio Xingu Camping
561,Iquitos,PE,79.63,overcast clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
565,Melchor De Mencos,GT,71.6,overcast clouds,17.0686,-89.1522,Xultun Farm
568,Humaita,BR,79.09,moderate rain,-7.5061,-63.0208,Corrêa Hotel
